Rk,Team,Conf,W-L,AdjEM,AdjO,AdjO2,AdjD,AdjD2,AdjT,AdjT2,Luck,Luck2,Strength of Schedule AdjEM,Strength of Schedule AdjEM2,Strength of Schedule OppO,Strength of Schedule OppO2,Strength of Schedule OppD,Strength of Schedule OppD2,NCSOS AdjEM,NCSOS AdjEM2,Seed
1,Duke,ACC,31-4,34.19,121.0,1,86.8,1,74.5,8,-0.027,223,9.87,18,109.3,13,99.5,31,6.66,34,1
2,Cincinnati,CUSA,31-4,30.19,118.1,7,87.9,3,67.4,194,0.002,165,6.58,57,106.5,66,100.0,44,3.48,80,1
3,Maryland,ACC,32-4,29.25,119.2,4,89.9,7,73.7,15,0.025,104,9.88,16,109.4,11,99.5,32,1.62,120,1
4,Kansas,B12,33-4,28.99,118.7,5,89.7,6,77.3,3,0.022,109,10.67,10,110.5,4,99.9,40,8.32,23,1
5,Oklahoma,B12,31-5,26.04,114.9,20,88.9,4,66.5,228,0.043,69,8.77,26,109.2,15,100.4,62,-0.44,169,2
6,Indiana,B10,25-12,24.8,114.0,26,89.2,5,65.6,255,-0.049,270,14.12,2,111.1,2,96.9,2,13.54,4,5
7,Florida,SEC,22-9,24.72,115.1,19,90.4,8,69.6,103,-0.073,300,9.11,23,108.3,29,99.2,25,-0.56,173,5
8,Illinois,B10,26-9,23.21,115.7,17,92.5,16,68.5,153,0.016,123,10.6,11,110.0,9,99.4,29,6.79,32,4
9,Oregon,P10,26-9,22.97,119.2,3,96.3,40,71.1,61,-0.041,255,8.15,36,108.3,31,100.2,51,-3.3,245,2
10,Kentucky,SEC,22-10,22.21,113.4,29,91.2,9,68.0,169,-0.029,230,12.97,3,110.3,7,97.4,5,6.75,33,4
11,Marquette,CUSA,26-7,21.47,113.4,30,91.9,11,64.6,281,0.006,155,5.41,72,105.7,95,100.3,59,-2.87,233,5
12,USC,P10,22-10,20.67,112.8,36,92.1,14,70.1,88,-0.051,275,9.31,21,109.4,10,100.1,50,1.9,113,4
13,Arizona,P10,24-10,20.54,119.3,2,98.8,82,71.1,59,0.079,15,14.22,1,111.5,1,97.3,3,17.56,1,3
14,Kent St.,MAC,29-6,20.39,116.7,8,96.4,42,64.7,278,0.008,150,3.11,104,106.3,77,103.2,142,2.99,90,10
15,Stanford,P10,20-10,20.32,116.6,10,96.3,41,69.5,106,-0.02,205,10.33,13,110.4,5,100.1,48,2.1,108,8
16,Pittsburgh,BE,29-6,19.94,112.1,39,92.2,15,63.8,293,0.0,172,3.12,103,103.9,151,100.8,70,-12.07,325,3
17,Ohio St.,B10,24-8,19.76,116.4,11,96.6,47,66.8,215,0.005,159,7.51,46,106.8,58,99.3,27,-1.26,196,4
18,Connecticut,BE,27-7,19.36,112.2,38,92.8,18,68.7,143,0.063,31,8.19,34,107.5,44,99.3,26,1.73,118,2
19,Notre Dame,BE,21-11,19.27,116.1,14,96.8,52,68.6,149,-0.087,307,7.34,47,105.6,98,98.3,8,-1.55,205,8
21,North Carolina St.,ACC,23-11,19.15,113.2,33,94.0,26,67.5,193,0.012,136,8.28,31,108.8,20,100.6,64,-5.56,283,7
22,Alabama,SEC,27-8,18.73,114.0,24,95.3,32,68.0,170,0.076,21,8.59,29,107.4,46,98.8,15,-1.56,206,2
23,Xavier,A10,26-6,18.6,111.2,48,92.6,17,67.0,206,0.051,54,5.1,76,106.9,55,101.8,95,5.37,47,7
24,Gonzaga,WCC,28-4,18.51,115.6,18,97.1,53,68.5,155,0.049,61,1.13,133,104.0,146,102.8,131,4.04,75,6
