Year,Team,Elo
2003,Drexel,1589.137038
2003,Menlo,1464.877929
2003,Lincoln (MO),1482.769291
2003,Valparaiso,1577.862073
2003,Arkansas-Pine Bluff,1294.622757
2003,Villanova,1543.765705
2003,Hampton,1577.356082
2003,Toledo,1496.848793
2003,Oregon State,1510.073059
2003,South Carolina State,1531.46302
2003,Southern Illinois,1650.118734
2003,Oral Roberts,1594.346951
2003,Marquette,1686.703781
2003,Virginia Intermont,1482.466371
2003,Nyack,1487.56402
2003,North Carolina,1551.831663
2003,Northeastern,1503.608447
2003,Southeastern Louisiana,1458.285589
2003,Virginia Wise,1467.204535
2003,Mississippi,1536.811776
2003,Central Baptist,1470.037167
2003,Delta State,1484.399846
2003,Oklahoma Wesleyan,1487.710139
2003,Long Island University,1414.313479
2003,Western State,1483.936414
2003,Cornell,1416.287418
2003,IUPUI,1524.301137
2003,San Jose State,1372.438113
2003,Mount St. Mary's,1441.213703
2003,Rensselaer,1483.818469
2003,Boston University,1583.42181
2003,Jackson State,1409.755612
2003,Husson,1484.803784
2003,Texas-El Paso,1327.722411
2003,Youngstown State,1408.378562
2003,Akron,1494.984913
2003,Niagara,1526.545564
2003,Pennsylvania,1622.848316
2003,Massachusetts,1438.05649
2003,Lees-McRae,1482.158857
2003,Austin Peay,1623.941696
2003,Swarthmore,1485.085187
2003,Bluefield College (VA),1459.138044
2003,Pepperdine,1526.26827
2003,Notre Dame,1667.268159
2003,San Diego State,1531.284544
2003,UC-Irvine,1610.763598
2003,Anderson (SC),1485.713625
2003,Detroit Mercy,1542.747711
2003,Southeast Missouri State,1446.962409
2003,Lyon,1483.560469
2003,Montana Western,1481.127602
2003,Washington,1453.285731
2003,Gardner-Webb,1329.672965
2003,Wright State,1461.663971
2003,Howard Payne,1484.113226
2003,St. Francis (NY),1433.401557
2003,Eastern Kentucky,1469.128246
2003,Concordia (WI),1483.203092
2003,Wisconsin,1640.950904
2003,University of California,1650.883938
2003,North Carolina State,1555.932768
2003,Vanderbilt,1482.420005
2003,High Point,1369.245858
2003,Nevada,1530.266084
2003,Roanoke,1480.281771
2003,St. Mary's (MD),1442.686853
2003,Cincinnati,1601.064662
2003,Utah State,1648.899419
2003,Northwestern State,1345.440862
2003,Sacramento State,1445.653339
2003,Hawaii,1598.06
2003,Eastern Illinois,1481.10171
2003,Denver,1501.119059
2003,Tennessee,1554.996744
2003,Lehigh,1538.785019
2003,Binghamton,1508.490641
2003,Arkansas Baptist,1484.710671
2003,Ohio Dominican,1484.231845
2003,Texas,1685.244579
2003,Texas State,1559.4454
2003,Central Michigan,1648.115864
2003,Indiana State,1385.055011
2003,Virginia Military Institute,1423.135178
2003,Mississippi Valley State,1477.317931
2003,Montana State,1472.194816
2003,Cal Poly,1497.656381
2003,Wofford,1487.570667
2003,UCLA,1410.986624
2003,Cal State Monterey Bay,1453.741314
2003,George Washington,1471.554898
2003,Oakland City,1481.002898
2003,St. Ambrose,1480.112609
2003,Nevada-Las Vegas,1606.661461
2003,Baylor,1523.503448
2003,Alabama A&M,1408.203071
2003,Philadelphia,1486.873836
2003,Wisconsin-Parkside,1488.588605
2003,Texas-San Antonio,1448.859218
2003,Saint Francis (PA),1479.022349
2003,Sam Houston State,1640.112818
2003,Liberty,1487.051624
2003,Ursinus,1472.606415
2003,Kansas,1664.483677
2003,Northern Greenville,1478.997312
2003,South Alabama,1503.844805
2003,Quinnipiac,1540.786631
2003,King (TN),1483.343507
2003,South Carolina-Aiken,1488.110829
2003,Troy,1664.235744
2003,Texas A&M-Commerce,1477.349055
2003,Dowling,1491.97481
2003,Mount Olive,1480.092857
2003,Oklahoma State,1657.541197
2003,Tulsa,1622.450584
2003,Texas-Arlington,1509.12811
2003,Rider,1469.673023
2003,Princeton,1516.465196
2003,Nebraska,1459.456656
2003,Missouri Valley,1484.086441
2003,Rhode Island College,1483.073632
2003,Fairleigh Dickinson,1505.055948
2003,Rice,1587.081389
2003,Montana Tech,1457.163707
2003,Ithaca,1479.326371
2003,Pittsburgh,1714.342248
2003,Louisville,1692.515837
2003,Arizona State,1614.554873
2003,Washington State,1396.316162
2003,Iowa State,1567.27634
2003,Saint Michael's,1489.059187
2003,Oklahoma,1694.680042
2003,Tiffin,1483.432941
2003,Cedarville,1480.506952
2003,Marist,1477.659807
2003,Hofstra,1371.426545
2003,Delaware State,1526.300871
2003,Eastern Washington,1565.550438
2003,Rochester (MI),1482.178897
2003,Shawnee State,1477.938336
2003,Fairfield,1564.637556
2003,Maryland-Baltimore County,1378.591139
2003,West Alabama,1456.935117
2003,Southwestern (TX),1478.784411
2003,Oglethorpe,1479.674214
2003,Arkansas-Monticello,1466.247744
2003,St. Bonaventure,1481.270432
2003,East Carolina,1532.722194
2003,Manhattan,1640.039717
2003,Florida International,1405.855297
2003,Creighton,1717.104016
2003,Texas A&M-Kingsville,1484.737152
2003,Urbana,1473.82583
2003,DePaul,1576.069881
2003,Hillsdale,1484.89943
2003,Wyoming,1612.935694
2003,Alabama State,1523.930823
2003,Sonoma State,1486.786301
2003,Illinois,1678.467176
2003,Alaska-Anchorage,1479.561011
2003,Southern Utah,1448.40521
2003,Washington & Jefferson,1484.386828
2003,Fairleigh Dickinson-Florham,1482.780929
2003,Webber,1470.31874
2003,San Francisco,1485.326612
2003,Tennessee State,1285.452264
2003,Western Carolina,1425.075456
2003,Sacred Heart,1359.510627
2003,Union (TN),1484.105217
2003,Coastal Carolina,1480.402748
2003,Brigham Young,1652.982111
2003,Rhode Island,1573.881745
2003,Milwaukee,1638.081562
2003,Chattanooga,1605.661029
2003,Utah,1655.227755
2003,Charlotte,1491.894262
2003,Saint Leo,1468.745362
2003,Hartwick,1484.100839
2003,Linfield,1476.800141
2003,Maine-Fort Kent,1482.087854
2003,Saint Mary's (CA),1524.434887
2003,Rutgers,1504.672957
2003,Texas-Rio Grande Valley,1413.467284
2003,Bryan,1487.80192
2003,Toccoa Falls,1463.713632
2003,Davidson,1576.87438
2003,Robert Morris,1426.272989
2003,Maryland,1613.753033
2003,Coast Guard,1478.257482
2003,Arizona,1743.145271
2003,Appalachian State,1598.07405
2003,Hobart,1482.776215
2003,North Carolina-Asheville,1495.119457
2003,Xavier,1691.663282
2003,Howard,1445.020327
2003,New Mexico State,1585.880021
2003,Western Michigan,1617.664729
2003,West Virginia,1513.390481
2003,Kansas State,1492.07602
2003,Juniata,1487.729804
2003,Southern,1389.214776
2003,North Texas,1415.456882
2003,New Hampshire,1314.278362
2003,Tulane,1516.839538
2003,Chicago State,1294.875046
2003,Norfolk State,1461.818163
2003,Kennesaw State,1486.543043
2003,UC-Santa Cruz,1449.595061
2003,Kentucky,1727.147813
2003,Evansville,1494.155273
2003,Spring Arbor,1474.73266
2003,North Carolina-Pembroke,1478.599585
2003,Fordham,1274.878504
2003,Taylor (IN),1487.870065
2003,Southeast Florida,1478.865466
2003,Florida Atlantic,1362.932621
2003,Sewanee,1481.969968
2003,Missouri,1645.769737
2003,Harvard,1524.20485
2003,Arkansas State,1472.052561
2003,Minnesota,1580.901798
2003,San Diego,1548.298909
2003,Worcester Tech,1478.864581
2003,Middlebury,1486.971794
2003,New Mexico,1432.634016
2003,Iona,1532.749908
2003,Charleston Southern,1540.421521
2003,Central Florida,1606.280008
2003,Bethune-Cookman,1362.889049
2003,Citadel,1418.206533
2003,Western Illinois,1385.600049
2003,Prairie View,1511.58518
2003,Suffolk,1483.402092
2003,Louisiana Tech,1497.611621
2003,Emmanuel (GA),1464.500971
2003,Carnegie Mellon,1479.72494
2003,Tennessee-Martin,1517.790625
2003,College of Charleston,1669.943946
2003,Washington College,1486.495443
2003,Fresno State,1637.055163
2003,Louisiana,1616.919754
2003,City Tech,1477.131154
2003,Knoxville College,1480.528319
2003,Pacific,1519.437219
2003,Oakland,1539.132802
2003,Virginia Commonwealth,1557.481786
2003,Colorado State,1531.281237
2003,Lamar,1487.697362
2003,Tennessee Tech,1566.44312
2003,Holy Names,1484.407101
2003,Coppin State,1422.58633
2003,Boston College,1574.030237
2003,Brown,1532.994209
2003,Millsaps,1483.113257
2003,Northern Arizona,1548.232199
2003,Idaho State,1509.85731
2003,South Florida,1521.534305
2003,Florida State,1531.447297
2003,Centenary (NJ),1466.394492
2003,Boise State,1517.287664
2003,Dickinson State (ND),1481.497411
2003,Concordia (TX),1490.769229
2003,George Mason,1543.960721
2003,Shepherd,1480.267956
2003,Loyola (MD),1315.74238
2003,Kent State,1636.85241
2003,Texas Tech,1582.164566
2003,Georgia,1645.073828
2003,Greensboro,1488.389018
2003,Central Missouri,1492.050222
2003,Georgia Tech,1537.31991
2003,Weber State,1676.477862
2003,Seton Hall,1551.188174
2003,Haverford,1485.459357
2003,Colorado,1588.386186
2003,Reinhardt,1490.899353
2003,New Orleans,1561.386375
2003,Alabama-Birmingham,1567.574447
2003,Saint Joseph's,1682.05555
2003,Portland,1442.876494
2003,Chaminade,1457.11035
2003,Texas A&M,1553.739294
2003,Loyola (LA),1417.65552
2003,Lafayette,1453.917292
2003,Mississippi State,1627.423199
2003,Albertson,1482.517183
2003,Mercer,1635.155635
2003,Alcorn State,1428.836098
2003,Holy Cross,1698.145141
2003,Buffalo,1319.569201
2003,Mary Hardin-Baylor,1486.084824
2003,Morehead State,1581.89951
2003,Illinois State,1381.399158
2003,South Carolina,1505.907264
2003,Green Bay,1443.107651
2003,Morgan State,1313.767986
2003,Texas Christian,1411.61958
2003,Missouri State,1537.698208
2003,Elon,1480.589948
2003,Loyola Marymount,1451.825561
2003,Jacksonville State,1580.367398
2003,Cumberland University,1486.58418
2003,Florida A&M,1532.366698
2003,Concordia (OR),1485.722077
2003,Notre Dame de Namur,1483.744874
2003,Gonzaga,1642.53504
2003,Ohio State,1543.982585
2003,Great Falls,1482.493918
2003,Rollins,1484.932426
2004,Dominican (CA),1482.322776
2004,Siena,1462.382826
2004,Stephen F. Austin,1616.602162
2004,Grambling,1408.618073
2004,Asbury,1484.903297
2004,Texas A&M-Corpus Christi,1540.041424
2004,Louisiana-Monroe,1429.970204
2004,Florida,1628.148784
2004,Lycoming,1486.34603
2004,Louisiana State,1619.821313
2004,Centenary (LA),1546.669174
2004,Vermont,1578.907687
2004,Georgia Southern,1625.35775
2004,Concordia (MI),1481.832576
2004,Voorhees,1476.74703
2004,Slippery Rock,1479.034309
2004,Louisiana College,1482.153511
2004,Birmingham-Southern,1605.2625
2004,Saint Louis,1555.518564
2004,Long Beach State,1363.018777
2004,Delaware Valley,1486.2744
2004,Whitworth,1486.812836
2004,Southern Vermont,1489.854312
2004,Indiana,1533.072183
2004,Butler,1497.728419
2004,Winthrop,1540.738454
2004,Northern Michigan,1469.526368
2004,LeTourneau,1482.529643
2004,Ball State,1509.244075
2004,Navy,1331.237389
2004,Flagler,1481.409807
2004,Columbia,1405.714521
2004,Auburn,1550.093667
2004,Lipscomb,1376.281703
2004,LaGrange,1488.216199
2004,Quincy,1483.118878
2004,Manhattanville,1481.027506
2004,Temple,1503.309796
2004,Simpson (IA),1481.485624
2004,Georgia State,1594.014978
2004,Marshall,1467.114917
2004,Southern Mississippi,1521.598538
2004,Alabama,1597.607462
2004,Louisiana State-Shreveport,1481.514887
2004,Tougaloo,1448.413816
2004,Newberry,1488.344684
2004,Duquesne,1447.04251
2004,Sul Ross State,1475.73203
2004,St. John's (NY),1385.215007
2004,Rockhurst,1486.641515
2004,Missouri-Kansas City,1492.795532
2004,Monmouth,1585.742623
2004,Huston-Tillotson,1461.937561
2004,UC-San Diego,1459.982252
2004,Wagner,1447.45848
2004,Duke,1744.796624
2004,Towson,1368.584717
2004,Texas Wesleyan,1485.427852
2004,Stony Brook,1400.652973
2004,William & Mary,1388.842405
2004,Barry,1480.302755
2004,Syracuse,1668.775218
2004,Clemson,1482.47951
2004,Colgate,1499.408803
2004,Northern Illinois,1417.694579
2004,Jarvis Christian,1482.452526
2004,Air Force,1632.981041
2004,Albany (NY),1323.927296
2004,Houghton,1489.54493
2004,Hawaii-Hilo,1479.75206
2004,Virginia Tech,1508.197765
2004,Maryland-Eastern Shore,1350.201196
2004,Curry,1487.461456
2004,UC-Santa Barbara,1553.889757
2004,James Madison,1373.781364
2004,Eastern New Mexico,1482.30027
2004,Schreiner,1484.202521
2004,Santa Clara,1531.127432
2004,Saint Peter's,1568.748379
2004,Kentucky Christian,1467.170542
2004,Miami (OH),1564.64635
2004,Southern California,1500.136752
2004,Savannah State,1312.804224
2004,Bucknell,1456.107229
2004,Cal State Northridge,1468.532179
2004,Delaware,1543.696995
2004,Jacksonville,1472.176368
2004,Arkansas,1511.751044
2004,Fort Wayne,1318.95702
2004,Montana,1429.626461
2004,Oregon,1558.188609
2004,Harding,1472.115246
2004,North Carolina-Greensboro,1440.709121
2004,Iowa,1566.988604
2004,Murray State,1705.932915
2004,Nova Southeastern,1482.167204
2004,Radford,1449.683379
2004,Ohio Wesleyan,1482.99571
2004,Rocky Mountain,1469.02112
2004,Cornell (IA),1478.45454
2004,San Francisco State,1484.209337
2004,Idaho,1471.242066
2004,Stetson,1461.845637
2004,Abilene Christian,1484.575155
2004,Ohio,1410.378647
2004,North Carolina A&T,1281.416228
2004,Spring Hill,1462.174232
2004,Trine,1456.489441
2004,Dayton,1673.865099
2004,Little Rock,1518.844666
2004,Miami (FL),1505.544639
2004,Methodist,1481.380933
2004,Middle Tennessee,1551.8645
2004,Piedmont,1461.35406
2004,East Mennonite,1478.098331
2004,Central Arkansas,1481.998092
2004,Northern Iowa,1572.569783
2004,Old Dominion,1561.58566
2004,McNeese State,1449.033616
2004,Campbell,1281.067861
2004,Southern Illinois-Edwardsville,1491.757408
2004,Lynchburg,1480.724003
2004,Southwest Assemblies of God,1482.669772
2004,Maine,1569.165196
2004,Penn State,1457.580523
2004,Canisius,1441.284348
2004,Wiley,1435.731874
2004,Montevallo,1483.058195
2004,Albion,1483.024788
2004,Washington & Lee,1476.750016
2004,St. Andrews,1484.730443
2004,Hardin-Simmons,1464.915518
2004,Bowling Green State,1466.539304
2004,Texas College,1449.037545
2004,Georgetown,1539.024142
2004,Colby,1487.046733
2004,Virginia,1582.884474
2004,American,1509.433898
2004,Central Methodist,1482.968286
2004,Nicholls State,1387.472303
2004,Michigan,1622.379113
2004,Furman,1526.389758
2004,Alaska-Fairbanks,1468.938502
2004,Army,1363.919045
2004,Western Kentucky,1509.081818
2004,Northern Georgia,1489.087712
2004,Occidental,1463.909053
2004,North Carolina-Wilmington,1510.114283
2004,Milligan,1485.074103
2004,Michigan State,1570.029809
2004,Kentucky State,1485.371245
2004,Puerto Rico-Mayaguez,1455.290711
2004,Belhaven (MS),1475.476062
2004,Cal State Fullerton,1431.073142
2004,Eastern Michigan,1466.789401
2004,Providence,1646.733105
2004,Fort Hays State,1489.656171
2004,Mary,1485.941053
2004,Limestone,1480.781361
2004,Bradley,1515.461356
2004,Gettysburg,1477.329085
2004,Wake Forest,1648.566428
2004,Belmont,1622.430746
2004,UC-Riverside,1433.354451
2004,Northwestern,1496.124996
2004,Loyola (IL),1430.533024
2004,Cleveland State,1351.290937
2004,Connecticut,1733.478101
2004,Memphis,1645.884657
2004,Fisk,1467.5089
2004,Wichita State,1606.655926
2004,Central Connecticut State,1479.795401
2004,Montreat,1480.619714
2004,Portland State,1451.275429
2004,Houston,1445.136402
2004,Houston Baptist,1488.706386
2004,Illinois College,1479.741608
2004,Yale,1487.769086
2004,Mars Hill,1491.517551
2004,Drake,1463.459153
2004,Maine-Machias,1485.640179
2004,Illinois-Chicago,1607.00654
2004,Pacific (OR),1482.679408
2004,Eastern Oregon,1487.516225
2004,Longwood,1467.477967
2004,Stanford,1769.300283
2004,Purdue,1575.944266
2004,Hartford,1463.021867
2004,Samford,1480.576934
2004,Southern Methodist,1469.507778
2004,Tennessee Wesleyan,1457.695392
2004,Texas Southern,1468.236343
2004,East Tennessee State,1673.705153
2004,Florida Gulf Coast,1481.484493
2004,New Mexico Highlands,1468.218226
2004,Western New Mexico,1484.786042
2004,Concordia (NY),1481.465064
2004,Richmond,1588.691273
2004,La Salle,1426.493839
2004,William Carey,1481.888982
2004,Averett,1483.937398
2004,St. Francis (IL),1477.975579
2004,Mary Washington,1479.528782
2004,Dartmouth,1300.640549
2004,Drexel,1560.003788
2004,Menlo,1481.724773
2004,Allen,1486.238673
2004,Valparaiso,1514.473544
2004,Arkansas-Pine Bluff,1260.026771
2004,Villanova,1570.665312
2004,Hampton,1437.131113
2004,Toledo,1608.706768
2004,Warner Pacific,1484.163703
2004,Oregon State,1473.65485
2004,South Carolina State,1531.479276
2004,Southern Illinois,1698.350425
2004,Oral Roberts,1567.653765
2004,Marquette,1588.927356
2004,Virginia Intermont,1469.368953
2004,North Carolina,1629.603526
2004,Northeastern,1548.67323
2004,Southeastern Louisiana,1604.44838
2004,UC-Davis,1488.891354
2004,Minnesota-Duluth,1488.158355
2004,Virginia Wise,1474.002465
2004,Mississippi,1512.436563
2004,Midwest Texas State,1458.026157
2004,Central Baptist,1450.492916
2004,Fort Valley State,1470.865021
2004,Delta State,1489.600054
2004,Oklahoma Wesleyan,1487.203999
2004,Long Island University,1408.206546
2004,Cornell,1468.929242
2004,IUPUI,1601.734776
2004,San Jose State,1374.513633
2004,Mount St. Mary's,1383.596541
2004,San Jose Christian,1464.935721
2004,Boston University,1634.011747
2004,Jackson State,1453.952235
2004,Texas-El Paso,1653.935342
2004,Youngstown State,1406.947303
2004,Akron,1500.274057
2004,Niagara,1603.885885
2004,Pennsylvania,1568.049134
2004,Mobile,1465.487195
2004,Massachusetts,1441.696198
2004,Lees-McRae,1483.778901
2004,Austin Peay,1582.12375
2004,Swarthmore,1487.654592
2004,Bluefield College (VA),1447.968617
2004,Pepperdine,1478.609265
2004,Notre Dame,1562.539031
2004,Elmhurst,1486.840117
2004,San Diego State,1525.448024
2004,UC-Irvine,1476.469562
2004,Anderson (SC),1488.372844
2004,Anderson (IN),1482.562171
2004,Detroit Mercy,1581.49921
2004,Southeast Missouri State,1490.723749
2004,Lyon,1486.715772
2004,Montana Western,1483.681648
2004,Washington,1541.839254
2004,Gardner-Webb,1388.505168
2004,Wright State,1499.182145
2004,St. Francis (NY),1478.871812
2004,Utah Valley,1455.846263
2004,Eastern Kentucky,1481.295441
2004,Wisconsin,1684.494733
2004,North Carolina State,1623.757872
2004,Vanderbilt,1649.638908
2004,University of California,1498.091914
2004,High Point,1562.6945
2004,Nevada,1629.91659
2004,New England,1486.921015
2004,Concordia-St. Paul,1487.588362
2004,Cincinnati,1694.076667
2004,Utah State,1710.881973
2004,Lubbock Christian,1483.495445
2004,Northwestern State,1440.211395
2004,Findlay,1480.772558
2004,Sacramento State,1475.874089
2004,Hawaii,1611.946447
2004,Eastern Illinois,1344.018364
2004,Denver,1524.851418
2004,Tennessee,1536.172735
2004,Lehigh,1545.522195
2004,Southeastern Oklahoma State,1492.889814
2004,Saint Francis (IN),1468.095558
2004,Binghamton,1467.439786
2004,Arkansas Baptist,1472.449987
2004,Ohio Dominican,1485.66609
2004,Texas,1681.287002
2004,Texas A&M-International,1468.828167
2004,Tri-State (IN),1486.765772
2004,Texas State,1504.18849
2004,Central Michigan,1336.39601
2004,Indiana State,1431.180405
2004,Virginia Military Institute,1354.679398
2004,Mississippi Valley State,1633.732379
2004,Montana State,1512.732576
2004,Oakwood,1490.401721
2004,Cal Poly,1462.070694
2004,Wofford,1410.778193
2004,UCLA,1506.144096
2004,George Washington,1572.875583
2004,Oakland City,1481.079164
2004,Nevada-Las Vegas,1559.940487
2004,Baylor,1410.917915
2004,Alabama A&M,1451.322714
2004,St. Gregory's,1487.247237
2004,Texas-San Antonio,1501.028986
2004,Saint Francis (PA),1451.438336
2004,Sam Houston State,1483.839135
2004,North Florida,1476.410688
2004,Liberty,1493.031525
2004,Ursinus,1484.726166
2004,Kansas,1662.049921
2004,Minnesota-Crookston,1487.88149
2004,Northern Greenville,1462.169388
2004,South Alabama,1481.833073
2004,Quinnipiac,1393.470945
2004,King (TN),1485.249914
2004,Brevard,1479.312748
2004,Troy,1656.833473
2004,Georgetown (KY),1457.38996
2004,McMurry,1485.750108
2004,Oklahoma State,1730.211755
2004,Montana-Great Falls,1468.019647
2004,Tulsa,1427.215785
2004,Cameron,1487.305792
2004,Texas-Arlington,1518.971632
2004,Southern Wesleyan,1485.670947
2004,Rider,1551.213738
2004,Princeton,1590.299289
2004,Nebraska,1575.598506
2004,Tennessee Temple,1457.433497
2004,Rhode Island College,1485.906973
2004,Fairleigh Dickinson,1537.980712
2004,Rice,1621.707008
2004,Montana Tech,1462.311203
2004,Central State (OH),1476.666949
2004,Ithaca,1482.425699
2004,Pittsburgh,1748.082393
2004,Louisville,1651.838533
2004,Washington State,1488.90611
2004,Arizona State,1467.164408
2004,Covenant,1469.392512
2004,Iowa State,1593.400697
2004,Oklahoma,1626.370843
2004,Western Oregon,1487.802424
2004,Marist,1351.672795
2004,Hofstra,1486.685487
2004,Ferrum,1487.091852
2004,Delaware State,1471.667456
2004,Chowan,1477.457313
2004,Eastern Washington,1507.528855
2004,Rochester (MI),1466.226054
2004,West Virginia Tech,1484.725457
2004,Fairfield,1568.635469
2004,Maryland-Baltimore County,1377.544242
2004,West Alabama,1454.192965
2004,Arkansas-Monticello,1452.920771
2004,St. Bonaventure,1411.278076
2004,East Carolina,1505.756214
2004,Manhattan,1670.765491
2004,Erskine,1485.24713
2004,Florida International,1339.83396
2004,Creighton,1634.051642
2004,Dickinson College,1484.807171
